Numéro;genus;sp;LIB_PAYS;N_ESSEM;N_CTFT;ORIGINE;CRS;DURETE;D12;NE_D12;CV_D12;HYGRO;SATUR;RB;Champ1;RV;RT;RR;FEND;TRACTION;CIS;C12;NE_C12;CV_C12;C_T_HUMID;C_REPERE;F12;NE_F12;CV_F12;E;W
3799;Aspidosperma;album;Bresil n.p.;3053;29494;;C;9.4;1.03;10;5;0.0021;22;15.1;;0.69;9.1;5.7;20.8;3.3;10,0;103;10;9;49;;178.1;10;10;20307;29
277;Aspidosperma;album;Bresil n.p.;0094V;;V;S;16.5;1.07;10;3;0.002;23;16;;0.7;9.8;5.4;;;;87.6;10;10;30;*;177.3;7;12;19522;
1033;Aspidosperma;album;Guyane Francaise;0415;05290;;C;6;0.82;12;9;0.0029;24;13.3;;0.55;;;23.2;3;;78;12;10;46;*;145;12;16;;23
3385;Aspidosperma;album;Guyane Francaise;2641;25850;;C;4.9;0.88;10;4;0.0019;25;16.2;;0.65;8.8;5.5;14;2.9;8,8;84.8;9;6;42;;154.2;9;6;19031;31
937;Aspidosperma;album;Guyane Francaise;0357G;;G;S;;0.88;6;;0.0035;27;13.9;;0.51;;;;;;;;;;;;;;;
500;Aspidosperma;album;Guyane Francaise;0169G;;G;C;;0.9;10;;0.0019;26;17.1;;0.66;;;;;;;;;;;;;;;
3572;Aspidosperma;cylindrocarpum;Paraguay;2822;28432;;S;7.3;0.9;5;6;0.0032;28;15.5;;0.55;10;6.4;;;;71.4;5;4;55;;99.3;4;13;10399;
15;Aspidosperma;obscurinervium;Bresil n.p.;0005V;;V;C;6.5;0.94;10;4;0.002;31;19.5;;0.63;10.3;6.5;;;;89.8;10;10;47;*;162.8;10;7;21484;
24;Aspidosperma;obscurinervium;Bresil n.p.;0008V;;V;S;4.1;0.97;10;4;0.0021;31;19.5;;0.63;10.5;6.5;;;;91.3;10;3;38;*;170.7;9;11;22465;
551;Aspidosperma;obscurinervium;Bresil n.p.;0184V;;V;C;10.7;1.03;10;2;0.0015;26;18.2;;0.7;11.2;7.5;;;;92.1;10;6;55;*;185.5;10;13;22171;
547;Aspidosperma;obscurinervium;Bresil n.p.;0183V;;V;C;9.2;1.03;10;8;0.0013;27;19.2;;0.71;11.7;8.2;;;;101;10;6;52;*;204.8;10;8;28449;
1443;Aspidosperma;sandwithianum;Guyane Francaise;0776;07719;;C;9;0.96;10;3;0.0025;28;17;;0.61;10.8;6.8;14.1;3.2;14,9;101;10;5;63;*;197.2;10;6;20111;40
3394;Aspidosperma;sp;Bresil Amazonie;2650C;26925;C;R;6.2;0.92;2;;0.003;25;14.4;;0.58;9.3;4.9;21;3.2;;85.3;2;;53;;148.9;2;;14813;29
2051;Aspidostemon;louvelii;Madagascar;1338;15948;;C;3.6;0.77;7;6;0.0029;21;11.3;;0.54;7.1;3.4;24.5;2.8;13,5;65.3;10;5;39;*;103.9;9;16;10497;12
2055;Aspidostemon;louvelii;Madagascar;1342;15951;;C;5.4;0.78;6;4;0.0026;18;10.7;;0.59;6.2;3.2;33.5;3.5;;59.8;9;8;66;*;114.2;7;4;10202;9
862;Aspidostemon;louvelii;Madagascar;0313;00131;;C;5;0.8;15;;0.005;30;9.8;;0.33;;;15;2.6;;68.4;15;;40;*;93.3;15;;;7
