Taxon;Genus;Hybrid.marker;Species;Abbrev;Infraspecific.rank;Infraspecific;Authority;ID;Plant.Name.Index;TPL.version;Taxonomic.status;Family;New.Genus;New.Hybrid.marker;New.Species;New.Infraspecific.rank;New.Infraspecific;New.Authority;New.ID;New.Taxonomic.status;Typo;WFormat;Higher.level;Date
Licania macrophylla;Licania;;macrophylla;NA;NA;;;kew-353767;TRUE;1.1;Accepted;Chrysobalanaceae;Licania;;macrophylla;;;Benth.;kew-353767;Accepted;FALSE;FALSE;FALSE;09/12/2021
Licania majuscula;Licania;;majuscula;NA;NA;;;kew-353766;TRUE;1.1;Accepted;Chrysobalanaceae;Licania;;majuscula;;;Sagot;kew-353766;Accepted;FALSE;FALSE;FALSE;09/12/2021
Licania membranacea;Licania;;membranacea;NA;NA;;;kew-353764;TRUE;1.1;Accepted;Chrysobalanaceae;Licania;;membranacea;;;Sagot ex Laness.;kew-353764;Accepted;FALSE;FALSE;FALSE;09/12/2021
Licania micrantha;Licania;;micrantha;NA;NA;;;kew-353763;TRUE;1.1;Accepted;Chrysobalanaceae;Licania;;micrantha;;;Miq.;kew-353763;Accepted;FALSE;FALSE;FALSE;09/12/2021
Licania ovalifolia;Licania;;ovalifolia;NA;NA;;;kew-354023;TRUE;1.1;Accepted;Chrysobalanaceae;Licania;;ovalifolia;;;Kleinh.;kew-354023;Accepted;FALSE;FALSE;FALSE;09/12/2021
Licania sp;Licania;;sp;NA;NA;;;;FALSE;1.1;;;Licania;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Licaria canella;Licaria;;canella;NA;NA;;;kew-2349219;TRUE;1.1;Accepted;Lauraceae;Licaria;;canella;;;(Meisn.) Kosterm.;kew-2349219;Accepted;FALSE;FALSE;FALSE;09/12/2021
Licaria cayennensis;Licaria;;cayennensis;NA;NA;;;tro-17802559;TRUE;1.1;Synonym;Lauraceae;Licaria;;canella;;;(Meisn.) Kosterm.;kew-2349219;Accepted;FALSE;FALSE;FALSE;09/12/2021
Licaria chrysophylla;Licaria;;chrysophylla;NA;NA;;;kew-2349189;TRUE;1.1;Accepted;Lauraceae;Licaria;;chrysophylla;;;(Meisn.) Kosterm.;kew-2349189;Accepted;FALSE;FALSE;FALSE;09/12/2021
Licaria polyphylla;Licaria;;polyphylla;NA;NA;;;kew-2351868;TRUE;1.1;Accepted;Lauraceae;Licaria;;polyphylla;;;(Nees) Kosterm.;kew-2351868;Accepted;FALSE;FALSE;FALSE;09/12/2021
Licaria sp;Licaria;;sp;NA;NA;;;;FALSE;1.1;;;Licaria;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Mabea speciosa;Mabea;;speciosa;NA;NA;;;kew-116224;TRUE;1.1;Accepted;Euphorbiaceae;Mabea;;speciosa;;;Müll.Arg.;kew-116224;Accepted;FALSE;FALSE;FALSE;09/12/2021
Macrolobium bifolium;Macrolobium;;bifolium;NA;NA;;;ild-20551;TRUE;1.1;Accepted;Leguminosae;Macrolobium;;bifolium;;;(Aubl.) Pers.;ild-20551;Accepted;FALSE;FALSE;FALSE;09/12/2021
Manilkara bidentata;Manilkara;;bidentata;NA;NA;;;kew-120114;TRUE;1.1;Accepted;Sapotaceae;Manilkara;;bidentata;;;(A.DC.) A.Chev.;kew-120114;Accepted;FALSE;FALSE;FALSE;09/12/2021
